ID,Title
G2346,FAO Meat
G1472,Euro Inflation
M9971,Beijing Air Quality
G1948,Firearms Check
G2268,Border Encounters
M3453,Cyberattacks
G1189,Dow Jones Transportation
G1631,Federal Reserve
C1039,Severe Drought
M5680,CO2 Ground Transport
G2063,NYC Evictions
G410,Europe Sea Arrivals
M1571,Bitcoin TH/s
G1210,Dollar vs Ruble
M7949,Arctic Sea Ice
M811,Earthquakes
C47,O1 Chinese Visas
G2352,TSA Travelers
G1588,US Unemployment
G1799,Private Housing Units
G1920,US Box Office Gross
M4663,"80,000 Hours"
G2006,US Prez Approval
G938,Pro-Kremlin Disinfo
G2404,CPI Food
G2341,US Job Quits
M6107,Harry Potter #7
G181,China Worker Protests
M3924,Seattle Criminal Offenses
C1084,Autonomous Collision Cali
G1190,US Gas Price
M8907,Global Commercial Flights
G1294,UK PHEV Registration
M5839,FDA NDA/BLA Approval
G584,Russian Govt Approval
G794,SNHR Civilian Deaths
G1461,Global CO2
M3028,ArXiv AI Papers
M3701,Global Temperature
